Memory Length4000;;;;;;;
Trigger Level0.000E+00;;;;;;;
SourceCH1;;;;;;;
Probe1X;;;;;;;
Vertical UnitsV;;;;;;;
Vertical Scale;1.00E+00;;;;;;
Vertical Position;-4.00E-02;;;;;;
Horizontal Unitss;;;;;;;
Horizontal Scale5.000E-02;;;;;;;
Horizontal Position0.000E+00;;;;;;;
Horizontal ModeRoll Mode;;;;;;;
Sampling Period;2.00E-04;;;;;;
FirmwareV1.12;;;;;;;
Time ;;Escalas de tiempo;Tiempo(s);Waveform Data Ch1;Ch1 (V);Waveform Data Ch1;Ch2 (V)
ModeFast;;;;;;;
Waveform Data;;;;;;;
12;;1;0.00E+00;-4.80E-01;-1.92E-02;;
12;;2;4.00E-04;4.80E-01;1.92E-02;;
12;;3;6.00E-04;4.80E-01;1.92E-02;;
12;;4;8.00E-04;4.80E-01;1.92E-02;;
12;;5;1.00E-03;4.80E-01;1.92E-02;;
12;;6;1.20E-03;4.80E-01;1.92E-02;;
12;;7;1.40E-03;4.80E-01;1.92E-02;;
12;;8;1.60E-03;4.80E-01;1.92E-02;;
12;;9;1.80E-03;4.80E-01;1.92E-02;;
12;;10;2.00E-03;4.80E-01;1.92E-02;;
12;;11;2.20E-03;4.80E-01;1.92E-02;;
12;;12;2.40E-03;4.80E-01;1.92E-02;;
12;;13;2.60E-03;4.80E-01;1.92E-02;;
12;;14;2.80E-03;4.80E-01;1.92E-02;;
12;;15;3.00E-03;4.80E-01;1.92E-02;;
13;;16;3.20E-03;5.20E-01;2.08E-02;;
12;;17;3.40E-03;4.80E-01;1.92E-02;;
13;;18;3.60E-03;5.20E-01;2.08E-02;;
12;;19;3.80E-03;4.80E-01;1.92E-02;;
14;;20;4.00E-03;5.60E-01;2.24E-02;;
14;;21;4.20E-03;5.60E-01;2.24E-02;;
13;;22;4.40E-03;5.20E-01;2.08E-02;;
13;;23;4.60E-03;5.20E-01;2.08E-02;;
13;;24;4.80E-03;5.20E-01;2.08E-02;;
13;;25;5.00E-03;5.20E-01;2.08E-02;;
13;;26;5.20E-03;5.20E-01;2.08E-02;;
13;;27;5.40E-03;5.20E-01;2.08E-02;;
14;;28;5.60E-03;5.60E-01;2.24E-02;;
14;;29;5.80E-03;5.60E-01;2.24E-02;;
13;;30;6.00E-03;5.20E-01;2.08E-02;;
14;;31;6.20E-03;5.60E-01;2.24E-02;;
14;;32;6.40E-03;5.60E-01;2.24E-02;;
14;;33;6.60E-03;5.60E-01;2.24E-02;;
15;;34;6.80E-03;6.00E-01;2.40E-02;;
15;;35;7.00E-03;6.00E-01;2.40E-02;;
14;;36;7.20E-03;5.60E-01;2.24E-02;;
14;;37;7.40E-03;5.60E-01;2.24E-02;;
15;;38;7.60E-03;6.00E-01;2.40E-02;;
15;;39;7.80E-03;6.00E-01;2.40E-02;;
14;;40;8.00E-03;5.60E-01;2.24E-02;;
15;;41;8.20E-03;6.00E-01;2.40E-02;;
15;;42;8.40E-03;6.00E-01;2.40E-02;;
15;;43;8.60E-03;6.00E-01;2.40E-02;;
15;;44;8.80E-03;6.00E-01;2.40E-02;;
15;;45;9.00E-03;6.00E-01;2.40E-02;;
15;;46;9.20E-03;6.00E-01;2.40E-02;;
16;;47;9.40E-03;6.40E-01;2.56E-02;;
15;;48;9.60E-03;6.00E-01;2.40E-02;;
16;;49;9.80E-03;6.40E-01;2.56E-02;;
15;;50;1.00E-02;6.00E-01;2.40E-02;;
16;;51;1.02E-02;6.40E-01;2.56E-02;;
16;;52;1.04E-02;6.40E-01;2.56E-02;;
16;;53;1.06E-02;6.40E-01;2.56E-02;;
16;;54;1.08E-02;6.40E-01;2.56E-02;;
16;;55;1.10E-02;6.40E-01;2.56E-02;;
16;;56;1.12E-02;6.40E-01;2.56E-02;;
16;;57;1.14E-02;6.40E-01;2.56E-02;;
16;;58;1.16E-02;6.40E-01;2.56E-02;;
16;;59;1.18E-02;6.40E-01;2.56E-02;;
16;;60;1.20E-02;6.40E-01;2.56E-02;;
16;;61;1.22E-02;6.40E-01;2.56E-02;;
17;;62;1.24E-02;6.80E-01;2.72E-02;;
16;;63;1.26E-02;6.40E-01;2.56E-02;;
16;;64;1.28E-02;6.40E-01;2.56E-02;;
16;;65;1.30E-02;6.40E-01;2.56E-02;;
17;;66;1.32E-02;6.80E-01;2.72E-02;;
17;;67;1.34E-02;6.80E-01;2.72E-02;;
17;;68;1.36E-02;6.80E-01;2.72E-02;;
16;;69;1.38E-02;6.40E-01;2.56E-02;;
17;;70;1.40E-02;6.80E-01;2.72E-02;;
17;;71;1.42E-02;6.80E-01;2.72E-02;;
17;;72;1.44E-02;6.80E-01;2.72E-02;;
17;;73;1.46E-02;6.80E-01;2.72E-02;;
17;;74;1.48E-02;6.80E-01;2.72E-02;;
17;;75;1.50E-02;6.80E-01;2.72E-02;;
18;;76;1.52E-02;7.20E-01;2.88E-02;;
17;;77;1.54E-02;6.80E-01;2.72E-02;;
18;;78;1.56E-02;7.20E-01;2.88E-02;;
18;;79;1.58E-02;7.20E-01;2.88E-02;;
18;;80;1.60E-02;7.20E-01;2.88E-02;;
18;;81;1.62E-02;7.20E-01;2.88E-02;;
17;;82;1.64E-02;6.80E-01;2.72E-02;;
18;;83;1.66E-02;7.20E-01;2.88E-02;;
18;;84;1.68E-02;7.20E-01;2.88E-02;;
18;;85;1.70E-02;7.20E-01;2.88E-02;;
18;;86;1.72E-02;7.20E-01;2.88E-02;;
18;;87;1.74E-02;7.20E-01;2.88E-02;;
19;;88;1.76E-02;7.60E-01;3.04E-02;;
18;;89;1.78E-02;7.20E-01;2.88E-02;;
19;;90;1.80E-02;7.60E-01;3.04E-02;;
19;;91;1.82E-02;7.60E-01;3.04E-02;;
19;;92;1.84E-02;7.60E-01;3.04E-02;;
19;;93;1.86E-02;7.60E-01;3.04E-02;;
19;;94;1.88E-02;7.60E-01;3.04E-02;;
19;;95;1.90E-02;7.60E-01;3.04E-02;;
19;;96;1.92E-02;7.60E-01;3.04E-02;;
19;;97;1.94E-02;7.60E-01;3.04E-02;;
20;;98;1.96E-02;8.00E-01;3.20E-02;;
20;;99;1.98E-02;8.00E-01;3.20E-02;;
19;;100;2.00E-02;7.60E-01;3.04E-02;;
20;;101;2.02E-02;8.00E-01;3.20E-02;;
